CNTSCHID,Loneliness,ClassroomSafety,TeacherSupport,Gender,Homework_Math,Homework_Reading,Homework_Science,SchoolType,ParentsEducation,Immigration,HomeLanguage,Sibling,Aircon,Helper,Vehicle,Books,Exercise,OwnRoom,FamilyCommitment,Preference_Math,Preference_Reading,Preference_Science,Math,Reading,Science
70200078,Strongly Disagree,Strongly Agree,Every lesson,Female,≤ 0.5hr,≤ 0.5hr,0.5hr - 1hr,Private,Secondary,2nd Generation,English,2,Yes,Yes,1,26 - 100,0,Yes,0,Strongly Disagree,Disagree,Strongly Disagree,509.3035,593.9118,579.8031
70200110,Disagree,Strongly Agree,Every lesson,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,2,Yes,No,1,26 - 100,4,Yes,10,Strongly Agree,Strongly Agree,Strongly Agree,663.5349,543.3975,616.941
70200135,Disagree,Agree,Most lesson,Female,0.5hr - 1hr,0.5hr - 1hr,≤ 0.5hr,Public,Post-Secondary,Native,English,1,Yes,No,0,26 - 100,5,Yes,4,Strongly Agree,Agree,Disagree,507.0188,491.0263,532.1677999999999
70200046,Disagree,Agree,Every lesson,Female,≤ 0.5hr,0.5hr - 1hr,≤ 0.5hr,Private,Tertiary,3rd Generation,English,1,Yes,No,0,26 - 100,3,Yes,5,Agree,Disagree,Disagree,498.3859,538.1809,598.8316
70200040,Disagree,Strongly Agree,Every lesson,Female,1hr - 2hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,Others,0,Yes,No,1,11 - 25,0,Yes,0,Strongly Agree,Disagree,Strongly Disagree,732.9903,689.1515,701.158
70200116,Disagree,Agree,Most lesson,Male,> 4hr,> 4hr,> 4hr,Public,Post-Secondary,Native,Others,2,No,No,0,26 - 100,10,No,3,Disagree,Disagree,Disagree,402.7851,374.70439999999996,372.717
70200144,Disagree,Agree,Most lesson,Male,0.5hr - 1hr,≤ 0.5hr,≤ 0.5hr,Private,Tertiary,Native,English,1,Yes,Yes,≥3,>500,7,Yes,2,Disagree,Agree,Disagree,607.3306,600.746,537.8646
70200136,Strongly Disagree,Strongly Agree,Every lesson,Male,0.5hr - 1hr,1hr - 2hr,1hr - 2hr,Public,Tertiary,2nd Generation,English,1,Yes,No,1,26 - 100,4,Yes,1,Strongly Agree,Disagree,Strongly Agree,686.7251,633.8192,633.3011
70200074,Disagree,Agree,Most lesson,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Secondary,Native,Others,2,Yes,No,0,0,2,Yes,3,Agree,Strongly Disagree,Disagree,382.8447,345.3238,403.3476
70200127,Strongly Disagree,Agree,Some lessons,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,Native,English,2,Yes,No,1,11 - 25,0,Yes,0,Agree,Disagree,Agree,599.6259,531.8794,565.4574
