CNTSCHID,Loneliness,ClassroomSafety,TeacherSupport,Gender,Homework_Math,Homework_Reading,Homework_Science,SchoolType,ParentsEducation,Immigration,HomeLanguage,Sibling,Aircon,Helper,Vehicle,Books,Exercise,OwnRoom,FamilyCommitment,Preference_Math,Preference_Reading,Preference_Science,Math,Reading,Science
70200070,Agree,Strongly Agree,Every lesson,Female,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Tertiary,2nd Generation,Others,1,Yes,No,0,26 - 100,2,Yes,9,Agree,Agree,Agree,489.1068,424.4728,477.8141
70200125,Agree,Strongly Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,English,0,Yes,No,1,26 - 100,2,Yes,2,Strongly Agree,Disagree,Strongly Agree,549.6874,484.2028,505.415
70200109,Strongly Disagree,Strongly Agree,Every lesson,Female,2hr - 3hr,1hr - 2hr,2hr - 3hr,Public,Tertiary,2nd Generation,Others,2,Yes,Yes,1,26 - 100,6,Yes,6,Agree,Agree,Agree,484.0901,467.43399999999997,465.7939
70200031,Disagree,Agree,Every lesson,Female,1hr - 2hr,≤ 0.5hr,1hr - 2hr,Public,Tertiary,Native,English,2,No,No,0,201-500,7,Yes,5,Disagree,Disagree,Agree,622.8282,631.0631,636.1288
70200055,Disagree,Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Secondary,Native,English,≥3,No,No,0,1 - 10,0,No,0,Disagree,Disagree,Disagree,578.6994,619.5346,561.4794
70200018,Strongly Agree,Disagree,Never or almost never,Male,> 4hr,≤ 0.5hr,3 - 4 hr,Public,Tertiary,Native,Others,≥3,No,No,≥3,1 - 10,10,No,10,Strongly Agree,Strongly Agree,Strongly Agree,581.9638,371.0351,468.2776
70200094,Disagree,Agree,Every lesson,Male,0.5hr - 1hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,English,2,No,Yes,1,101 - 200,10,Yes,2,Disagree,Agree,Disagree,612.942,574.6179,610.0138999999999
70200145,Disagree,Strongly Agree,Every lesson,Male,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Secondary,Native,English,1,No,Yes,1,11 - 25,0,No,0,Disagree,Disagree,Strongly Agree,513.7264,557.7799,535.8865000000001
70200017,Disagree,Agree,Most lesson,Female,≤ 0.5hr,0.5hr - 1hr,0.5hr - 1hr,Public,Tertiary,2nd Generation,English,2,Yes,Yes,1,201-500,1,No,0,Disagree,Agree,Strongly Agree,663.7566,645.7621,627.1632999999999
70200071,Disagree,Agree,Every lesson,Male,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,No,1,201-500,2,Yes,0,Agree,Disagree,Strongly Agree,721.5648,695.7572,659.9478
70200162,Strongly Disagree,Agree,Most lesson,Female,1hr - 2hr,1hr - 2hr,1hr - 2hr,Private,Secondary,Native,Others,2,Yes,No,1,26 - 100,2,No,2,Strongly Disagree,Disagree,Agree,570.8863,500.807,564.3108
70200083,Disagree,Agree,Every lesson,Male,0.5hr - 1hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,English,2,Yes,No,1,201-500,0,Yes,0,Disagree,Strongly Disagree,Disagree,531.795,538.9729,585.1072
70200137,Strongly Disagree,Strongly Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Secondary,Native,Others,≥3,Yes,No,1,0,10,Yes,1,Strongly Agree,Strongly Agree,Strongly Disagree,373.7764,322.077,330.9568
70200131,Disagree,Agree,Some lessons,Male,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Secondary,Native,English,2,Yes,No,1,26 - 100,0,No,0,Agree,Agree,Agree,475.8846,484.684,523.4535
70200064,Disagree,Strongly Agree,Most lesson,Female,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Tertiary,Native,English,≥3,Yes,Yes,1,26 - 100,2,Yes,2,Disagree,Agree,Disagree,672.6009,696.5107,655.7277
70200140,Disagree,Agree,Most lesson,Female,≤ 0.5hr,0.5hr - 1hr,≤ 0.5hr,Public,Post-Secondary,Native,Others,≥3,Yes,No,0,1 - 10,1,No,4,Disagree,Agree,Agree,401.79269999999997,444.5756,432.219
70200026,Strongly Disagree,Strongly Agree,Every lesson,Male,1hr - 2hr,0.5hr - 1hr,0.5hr - 1hr,Public,Primary,3rd Generation,Others,2,Yes,No,0,26 - 100,5,Yes,0,Agree,Agree,Agree,659.1072,583.5188,671.0975
70200043,Disagree,Agree,Every lesson,Female,0.5hr - 1hr,1hr - 2hr,0.5hr - 1hr,Public,Secondary,Native,Others,1,Yes,No,1,11 - 25,0,Yes,4,Agree,Agree,Agree,460.386,468.5396,523.8477
70200133,Disagree,Strongly Agree,Most lesson,Female,0.5hr - 1hr,0.5hr - 1hr,≤ 0.5hr,Public,Post-Secondary,Native,English,1,No,Yes,0,201-500,0,Yes,0,Agree,Disagree,Agree,435.0348,471.7152,448.8932
70200002,Strongly Disagree,Strongly Agree,Every lesson,Female,≤ 0.5hr,1hr - 2hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,2,Yes,No,0,11 - 25,1,No,5,Strongly Disagree,Strongly Agree,Agree,421.349,441.6316,499.0384
70200113,Strongly Disagree,Strongly Agree,Every lesson,Male,1hr - 2hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,2nd Generation,Others,0,Yes,No,1,26 - 100,0,Yes,1,Disagree,Strongly Agree,Strongly Agree,660.9648,613.8794,662.5887
70200045,Strongly Disagree,Strongly Disagree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,Native,English,0,Yes,No,2,11 - 25,6,Yes,6,Strongly Agree,Strongly Agree,Strongly Agree,511.2416,409.1419,455.0822
70200070,Agree,Agree,Most lesson,Male,0.5hr - 1hr,≤ 0.5hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,2,No,Yes,0,1 - 10,4,No,5,Disagree,Disagree,Agree,469.8743,455.861,435.42
70200086,Disagree,Strongly Agree,Most lesson,Male,0.5hr - 1hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,Others,2,Yes,No,1,0,1,Yes,5,Agree,Strongly Disagree,Agree,489.6476,421.7147,434.8551
70200032,Strongly Disagree,Agree,Every lesson,Male,0.5hr - 1hr,≤ 0.5hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,2,Yes,Yes,1,26 - 100,4,No,2,Disagree,Agree,Strongly Agree,503.3614,517.9689,528.9505
70200098,Disagree,Agree,Most lesson,Male,> 4hr,1hr - 2hr,> 4hr,Public,Post-Secondary,Native,English,2,Yes,Yes,2,11 - 25,8,No,4,Strongly Agree,Disagree,Agree,495.9943,408.8333,432.1727
70200111,Disagree,Strongly Agree,Most lesson,Female,1hr - 2hr,0.5hr - 1hr,2hr - 3hr,Public,Post-Secondary,Native,Others,1,Yes,No,1,26 - 100,0,Yes,5,Agree,Disagree,Agree,670.766,620.6659,646.6222
70200033,Disagree,Strongly Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Private,Tertiary,Native,English,1,Yes,Yes,2,26 - 100,4,Yes,0,Agree,Agree,Disagree,601.3879,579.256,586.3809
70200077,Disagree,Agree,Most lesson,Female,2hr - 3hr,0.5hr - 1hr,1hr - 2hr,Public,Tertiary,Native,English,2,Yes,No,1,11 - 25,2,Yes,0,Agree,Disagree,Disagree,558.9365,563.9294,535.7326
70200094,Disagree,Agree,Most lesson,Female,0.5hr - 1hr,≤ 0.5hr,1hr - 2hr,Public,Secondary,2nd Generation,Others,1,Yes,No,0,26 - 100,0,No,2,Agree,Disagree,Agree,584.5756,531.4395,552.204
70200145,Disagree,Agree,Some lessons,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Tertiary,Native,English,1,Yes,Yes,2,26 - 100,8,Yes,10,Agree,Disagree,Agree,638.9497,577.4671999999999,619.5252
70200103,Disagree,Agree,Most lesson,Female,> 4hr,> 4hr,> 4hr,Public,Secondary,Native,English,≥3,Yes,No,≥3,26 - 100,0,Yes,3,Agree,Disagree,Disagree,542.1612,462.3463,492.6895
70200011,Disagree,Agree,Most lesson,Male,> 4hr,1hr - 2hr,1hr - 2hr,Public,Tertiary,Native,English,2,Yes,No,1,1 - 10,0,No,2,Agree,Strongly Disagree,Agree,622.6951,547.982,612.6789
70200052,Agree,Strongly Agree,Most lesson,Female,0.5hr - 1hr,0.5hr - 1hr,1hr - 2hr,Public,Tertiary,3rd Generation,Others,1,Yes,No,0,26 - 100,2,Yes,2,Disagree,Strongly Agree,Agree,616.225,634.9725,613.3737
70200133,Agree,Strongly Agree,Every lesson,Female,1hr - 2hr,≤ 0.5hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,Yes,1,1 - 10,2,Yes,0,Disagree,Strongly Disagree,Strongly Agree,681.598,744.1487,664.8946
70200120,Disagree,Strongly Agree,Every lesson,Female,3 - 4 hr,3 - 4 hr,3 - 4 hr,Public,Tertiary,Native,English,1,Yes,Yes,1,201-500,2,No,0,Agree,Strongly Agree,Strongly Agree,542.8283,589.0927,625.3785
70200157,Strongly Disagree,Strongly Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,3rd Generation,Others,2,Yes,No,1,1 - 10,10,Yes,10,Strongly Agree,Strongly Agree,Strongly Agree,369.3626,334.9386,338.7015
70200003,Disagree,Strongly Agree,Every lesson,Female,2hr - 3hr,1hr - 2hr,3 - 4 hr,Public,Tertiary,3rd Generation,English,1,Yes,No,1,26 - 100,1,Yes,5,Disagree,Disagree,Agree,710.7898,616.5489,649.6582
70200096,Disagree,Agree,Most lesson,Female,≤ 0.5hr,0.5hr - 1hr,≤ 0.5hr,Public,Secondary,Native,English,1,No,No,1,1 - 10,4,Yes,5,Disagree,Agree,Disagree,428.2375,492.11109999999996,424.912
70200010,Disagree,Agree,Some lessons,Male,≤ 0.5hr,0.5hr - 1hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,2,No,No,0,26 - 100,0,No,2,Disagree,Agree,Agree,494.0868,466.61400000000003,457.0219
70200080,Disagree,Agree,Most lesson,Female,1hr - 2hr,0.5hr - 1hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,1,Yes,No,0,101 - 200,0,No,5,Disagree,Agree,Agree,498.1873,518.897,499.4484
70200112,Disagree,Strongly Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,English,1,Yes,No,0,26 - 100,3,Yes,3,Disagree,Agree,Agree,563.0595000000001,558.4946,605.9339
70200139,Disagree,Agree,Most lesson,Male,1hr - 2hr,0.5hr - 1hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,Yes,1,201-500,3,Yes,0,Agree,Disagree,Agree,708.9819,623.5569,692.2726
70200093,Disagree,Agree,Every lesson,Male,≤ 0.5hr,0.5hr - 1hr,≤ 0.5hr,Public,Post-Secondary,3rd Generation,Others,0,No,No,0,26 - 100,0,Yes,0,Agree,Disagree,Disagree,490.5951,476.3205,494.3842
70200049,Disagree,Agree,Most lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,English,2,No,No,0,26 - 100,0,Yes,1,Strongly Disagree,Agree,Disagree,436.627,428.2885,480.9731
70200053,Disagree,Strongly Disagree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,Native,English,2,Yes,Yes,1,>500,10,No,0,Strongly Agree,Strongly Agree,Strongly Agree,729.7633,724.9614,670.5101
70200104,Strongly Disagree,Strongly Agree,Some lessons,Female,0.5hr - 1hr,0.5hr - 1hr,≤ 0.5hr,Private,Tertiary,3rd Generation,Others,2,Yes,Yes,1,201-500,2,Yes,0,Disagree,Disagree,Strongly Disagree,648.5482,667.1356,662.3951999999999
70200025,Strongly Disagree,Strongly Agree,Every lesson,Female,1hr - 2hr,0.5hr - 1hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,Yes,1,26 - 100,3,No,2,Strongly Agree,Agree,Agree,675.4584,682.9972,672.2716
70200148,Strongly Disagree,Strongly Agree,Every lesson,Male,0.5hr - 1hr,0.5hr - 1hr,≤ 0.5hr,Public,Post-Secondary,2nd Generation,English,2,Yes,No,0,11 - 25,7,No,5,Disagree,Strongly Agree,Agree,499.7856,473.5674,511.36949999999996
70200159,Disagree,Strongly Agree,Every lesson,Male,1hr - 2hr,≤ 0.5hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,No,1,201-500,2,No,0,Disagree,Agree,Disagree,529.4302,561.3447,616.83
70200165,Disagree,Strongly Agree,Most lesson,Female,0.5hr - 1hr,1hr - 2hr,2hr - 3hr,Private,Tertiary,3rd Generation,Others,1,No,No,0,1 - 10,1,Yes,8,Agree,Disagree,Agree,571.7369,541.5738,502.38280000000003
70200132,Strongly Disagree,Strongly Agree,Never or almost never,Female,1hr - 2hr,0.5hr - 1hr,2hr - 3hr,Public,Tertiary,Native,English,1,Yes,No,2,201-500,5,Yes,0,Strongly Agree,Agree,Agree,534.8539,503.6029,511.8646
70200055,Disagree,Agree,Some lessons,Female,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,2,Yes,No,1,26 - 100,0,No,4,Agree,Agree,Disagree,455.6351,427.0306,455.2448
70200118,Disagree,Strongly Agree,Most lesson,Female,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,Others,≥3,Yes,No,0,1 - 10,4,No,10,Disagree,Agree,Agree,403.592,384.3121,441.0884
70200096,Disagree,Strongly Agree,Most lesson,Male,0.5hr - 1hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,English,1,Yes,No,1,26 - 100,3,Yes,2,Strongly Agree,Agree,Agree,639.8101,519.9998,620.4284
70200088,Disagree,Agree,Most lesson,Female,0.5hr - 1hr,≤ 0.5hr,1hr - 2hr,Public,Post-Secondary,Native,English,1,No,No,0,1 - 10,0,Yes,0,Disagree,Agree,Strongly Disagree,514.0017,506.1601,551.4904
70200075,Disagree,Strongly Agree,Every lesson,Male,0.5hr - 1hr,≤ 0.5hr,0.5hr - 1hr,Public,Post-Secondary,2nd Generation,Others,1,Yes,No,1,26 - 100,0,Yes,0,Strongly Agree,Agree,Agree,637.9832,608.5142,637.075
70200080,Agree,Strongly Agree,Some lessons,Male,> 4hr,1hr - 2hr,> 4hr,Public,Tertiary,2nd Generation,English,2,Yes,No,0,26 - 100,3,No,2,Strongly Disagree,Strongly Agree,Agree,573.8833,584.6507,585.8885
70200019,Disagree,Agree,Most lesson,Male,1hr - 2hr,0.5hr - 1hr,1hr - 2hr,Public,Post-Secondary,Native,Others,1,Yes,No,1,11 - 25,2,Yes,0,Strongly Agree,Agree,Agree,704.5779,633.6104,621.113
70200092,Disagree,Agree,Most lesson,Female,≤ 0.5hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,English,1,Yes,Yes,2,1 - 10,2,Yes,5,Strongly Agree,Strongly Disagree,Agree,603.7047,571.3644,571.6609
70200088,Agree,Strongly Agree,Every lesson,Male,1hr - 2hr,0.5hr - 1hr,1hr - 2hr,Public,Post-Secondary,Native,English,1,Yes,No,1,101 - 200,0,No,0,Disagree,Disagree,Strongly Agree,705.5402,684.2163,712.9697
70200043,Strongly Agree,Agree,Every lesson,Male,1hr - 2hr,1hr - 2hr,0.5hr - 1hr,Public,Tertiary,Native,English,1,Yes,No,1,11 - 25,0,Yes,3,Strongly Agree,Strongly Disagree,Strongly Agree,568.4343,491.3057,582.9276
70200124,Agree,Strongly Agree,Every lesson,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,0,Yes,Yes,1,26 - 100,3,Yes,0,Strongly Agree,Strongly Agree,Strongly Disagree,651.8491,606.4412,630.5316
70200110,Disagree,Agree,Most lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,2nd Generation,English,1,Yes,Yes,0,26 - 100,5,No,0,Disagree,Agree,Agree,683.9003,689.44,650.3541
70200026,Disagree,Agree,Every lesson,Male,1hr - 2hr,2hr - 3hr,2hr - 3hr,Public,Post-Secondary,Native,English,1,Yes,No,0,1 - 10,6,Yes,0,Agree,Disagree,Agree,585.9609,541.6271,595.3822
70200004,Disagree,Agree,Most lesson,Female,1hr - 2hr,1hr - 2hr,2hr - 3hr,Public,Post-Secondary,Native,Others,≥3,Yes,No,1,101 - 200,0,No,5,Disagree,Disagree,Disagree,532.6227,521.3518,518.3998
70200125,Disagree,Strongly Agree,Most lesson,Female,1hr - 2hr,0.5hr - 1hr,1hr - 2hr,Public,Tertiary,2nd Generation,English,1,Yes,No,1,101 - 200,0,Yes,5,Agree,Disagree,Strongly Agree,673.0535,595.8394000000001,634.4048
70200070,Strongly Disagree,Strongly Agree,Most lesson,Female,2hr - 3hr,2hr - 3hr,2hr - 3hr,Public,Post-Secondary,Native,Others,2,Yes,No,1,11 - 25,2,No,5,Strongly Agree,Strongly Agree,Strongly Agree,574.1153,528.0856,548.7615
70200145,Strongly Disagree,Strongly Agree,Most lesson,Female,0.5hr - 1hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,3rd Generation,English,0,Yes,No,0,201-500,0,Yes,5,Strongly Disagree,Agree,Strongly Disagree,589.1449,611.0611,599.2758
70200006,Disagree,Agree,Every lesson,Female,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Tertiary,Native,Others,2,Yes,Yes,1,11 - 25,1,Yes,0,Disagree,Agree,Disagree,446.954,486.7778,454.5045
70200094,Disagree,Strongly Agree,Every lesson,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Post-Secondary,3rd Generation,Others,2,Yes,No,1,26 - 100,10,Yes,10,Strongly Agree,Strongly Agree,Agree,625.7945,539.3399000000001,489.3727
70200023,Disagree,Agree,Some lessons,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Tertiary,Native,English,1,Yes,Yes,1,>500,8,Yes,0,Disagree,Agree,Disagree,545.9333,489.8431,461.4959
70200124,Disagree,Agree,Some lessons,Male,1hr - 2hr,1hr - 2hr,0.5hr - 1hr,Public,Tertiary,Native,Others,2,Yes,No,0,26 - 100,0,Yes,5,Agree,Disagree,Disagree,540.7124,553.4004,521.2267
70200027,Agree,Agree,Every lesson,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Secondary,Native,Others,0,Yes,No,0,1 - 10,2,No,2,Disagree,Disagree,Disagree,381.5871,320.5118,354.0802
70200016,Disagree,Strongly Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,0.5hr - 1hr,Private,Tertiary,3rd Generation,Others,≥3,Yes,No,1,101 - 200,0,Yes,5,Strongly Agree,Agree,Agree,574.4367,510.9801,511.2702
70200031,Disagree,Agree,Most lesson,Male,2hr - 3hr,≤ 0.5hr,2hr - 3hr,Public,Primary,Native,Others,1,Yes,No,0,26 - 100,2,Yes,1,Strongly Agree,Disagree,Disagree,623.4103,528.7761,542.1274999999999
70200027,Agree,Agree,Some lessons,Male,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,Yes,1,101 - 200,1,Yes,2,Disagree,Disagree,Disagree,549.5055,464.224,435.1785
70200092,Disagree,Agree,Every lesson,Male,0.5hr - 1hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,English,≥3,Yes,Yes,0,26 - 100,3,No,1,Strongly Agree,Disagree,Strongly Agree,679.7649,616.5487,604.3443
70200032,Disagree,Strongly Agree,Every lesson,Male,1hr - 2hr,≤ 0.5hr,1hr - 2hr,Public,Tertiary,Native,English,0,Yes,Yes,0,11 - 25,6,Yes,0,Strongly Agree,Disagree,Strongly Agree,594.3174,473.038,563.2772
70200001,Disagree,Strongly Disagree,Every lesson,Male,0.5hr - 1hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,2nd Generation,English,1,Yes,Yes,1,101 - 200,1,Yes,1,Agree,Strongly Disagree,Agree,755.0354,626.7252,682.7281
70200068,Disagree,Strongly Agree,Never or almost never,Female,≤ 0.5hr,1hr - 2hr,≤ 0.5hr,Public,Tertiary,Native,Others,2,No,No,0,101 - 200,3,No,5,Strongly Agree,Agree,Strongly Agree,384.6463,328.9847,415.03839999999997
70200053,Disagree,Strongly Agree,Every lesson,Female,1hr - 2hr,≤ 0.5hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,1,Yes,No,1,11 - 25,0,Yes,1,Disagree,Agree,Strongly Disagree,706.3727,630.2444,710.2319
70200116,Strongly Disagree,Strongly Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,1,Yes,No,1,1 - 10,0,Yes,0,Agree,Strongly Agree,Agree,561.5622000000001,546.2191,559.3
70200052,Disagree,Agree,Every lesson,Female,0.5hr - 1hr,0.5hr - 1hr,1hr - 2hr,Public,Post-Secondary,Native,English,2,Yes,No,1,26 - 100,1,No,10,Agree,Disagree,Agree,459.9419,461.6067,460.74019999999996
70200018,Disagree,Agree,Most lesson,Male,1hr - 2hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,English,0,Yes,No,1,101 - 200,5,Yes,2,Agree,Agree,Agree,679.0373,615.8625,652.6401
70200057,Disagree,Agree,Most lesson,Female,0.5hr - 1hr,0.5hr - 1hr,≤ 0.5hr,Private,Tertiary,3rd Generation,English,1,Yes,No,0,26 - 100,3,Yes,5,Agree,Agree,Disagree,710.0421,670.16,680.0334
70200016,Disagree,Strongly Agree,Most lesson,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Private,Tertiary,3rd Generation,Others,1,Yes,Yes,≥3,26 - 100,10,Yes,9,Agree,Agree,Agree,396.6307,177.83249999999998,257.8928
70200072,Agree,Agree,Most lesson,Male,1hr - 2hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,English,1,Yes,No,0,101 - 200,2,Yes,10,Agree,Agree,Agree,503.7657,535.5564,514.3298
70200134,Agree,Agree,Most lesson,Female,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,English,≥3,No,No,0,11 - 25,0,Yes,5,Strongly Agree,Strongly Disagree,Strongly Disagree,505.3447,484.4219,466.8823
70200110,Strongly Disagree,Strongly Agree,Every lesson,Male,1hr - 2hr,0.5hr - 1hr,1hr - 2hr,Public,Tertiary,2nd Generation,English,1,Yes,Yes,0,26 - 100,2,Yes,0,Strongly Agree,Disagree,Agree,710.9358,569.6901,660.1587
70200024,Strongly Disagree,Strongly Agree,Every lesson,Male,0.5hr - 1hr,0.5hr - 1hr,1hr - 2hr,Public,Tertiary,Native,Others,1,Yes,No,1,11 - 25,2,Yes,7,Strongly Disagree,Strongly Disagree,Strongly Agree,528.3559,510.2107,527.3091000000001
70200082,Disagree,Strongly Agree,Every lesson,Male,1hr - 2hr,≤ 0.5hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,No,1,11 - 25,4,No,0,Agree,Disagree,Agree,686.4429,643.0738,674.8518
70200133,Disagree,Agree,Every lesson,Female,≤ 0.5hr,1hr - 2hr,0.5hr - 1hr,Public,Secondary,Native,Others,2,Yes,No,1,26 - 100,4,Yes,4,Agree,Disagree,Disagree,529.503,508.0912,537.2332
70200052,Disagree,Strongly Agree,Every lesson,Female,2hr - 3hr,1hr - 2hr,3 - 4 hr,Public,Tertiary,Native,English,1,Yes,No,1,26 - 100,1,Yes,3,Agree,Disagree,Strongly Agree,640.4221,668.182,629.0081
70200136,Disagree,Agree,Every lesson,Female,≤ 0.5hr,1hr - 2hr,0.5hr - 1hr,Public,Post-Secondary,Native,Others,2,Yes,No,0,11 - 25,8,Yes,0,Agree,Strongly Disagree,Agree,505.43330000000003,492.8817,485.8747
70200025,Strongly Disagree,Strongly Agree,Every lesson,Female,1hr - 2hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,Native,English,0,Yes,No,1,26 - 100,0,Yes,1,Strongly Disagree,Disagree,Agree,703.7355,732.1202000000001,721.3037
70200100,Strongly Disagree,Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,Others,1,No,No,0,11 - 25,2,No,4,Disagree,Agree,Strongly Agree,446.2234,421.4533,480.0772
70200112,Strongly Disagree,Strongly Agree,Every lesson,Male,1hr - 2hr,0.5hr - 1hr,1hr - 2hr,Public,Secondary,Native,English,1,No,No,0,26 - 100,2,No,4,Disagree,Strongly Agree,Disagree,541.839,523.6833,535.9849
70200123,Agree,Agree,Every lesson,Male,1hr - 2hr,≤ 0.5hr,3 - 4 hr,Public,Secondary,Native,Others,1,Yes,No,1,201-500,1,No,0,Strongly Agree,Strongly Disagree,Strongly Agree,624.3272,570.3256,606.5066
70200134,Disagree,Agree,Every lesson,Female,3 - 4 hr,3 - 4 hr,3 - 4 hr,Public,Post-Secondary,Native,Others,≥3,No,No,1,1 - 10,0,Yes,10,Agree,Agree,Agree,393.2334,441.4291,408.3023
70200027,Disagree,Strongly Agree,Most lesson,Male,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Tertiary,Native,English,0,Yes,No,1,26 - 100,5,Yes,4,Disagree,Agree,Disagree,643.3634999999999,644.9703,667.7986
70200062,Disagree,Strongly Agree,Every lesson,Female,≤ 0.5hr,≤ 0.5hr,2hr - 3hr,Public,Tertiary,Native,English,≥3,Yes,Yes,1,26 - 100,2,Yes,0,Strongly Agree,Strongly Disagree,Agree,667.2692,637.3547,621.8096
70200035,Strongly Disagree,Agree,Some lessons,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,Native,English,2,Yes,No,0,201-500,0,No,2,Strongly Disagree,Disagree,Disagree,669.0011,596.5509,671.1496
70200094,Disagree,Strongly Agree,Every lesson,Female,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Primary,Native,English,≥3,Yes,No,1,1 - 10,8,Yes,0,Disagree,Agree,Disagree,427.101,453.7849,470.1393
70200067,Disagree,Agree,Never or almost never,Female,≤ 0.5hr,0.5hr - 1hr,≤ 0.5hr,Public,Post-Secondary,Native,English,0,Yes,No,0,26 - 100,3,Yes,7,Agree,Disagree,Agree,406.5204,451.9916,463.4486
70200152,Strongly Disagree,Strongly Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,Others,1,Yes,No,0,26 - 100,3,No,0,Strongly Disagree,Strongly Disagree,Strongly Disagree,431.2199,369.6826,415.9098
70200145,Disagree,Disagree,Most lesson,Male,1hr - 2hr,≤ 0.5hr,1hr - 2hr,Public,Tertiary,3rd Generation,Others,1,Yes,No,0,26 - 100,5,Yes,6,Agree,Agree,Strongly Agree,575.4954,619.6268,607.0262
70200107,Agree,Agree,Every lesson,Female,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Post-Secondary,Native,English,≥3,Yes,No,1,26 - 100,6,Yes,10,Strongly Disagree,Strongly Agree,Disagree,396.3172,429.1696,371.4518
70200025,Strongly Disagree,Agree,Every lesson,Female,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Tertiary,3rd Generation,English,2,Yes,Yes,0,26 - 100,0,Yes,5,Disagree,Disagree,Strongly Agree,612.0085,586.373,635.9723
70200163,Disagree,Agree,Some lessons,Female,0.5hr - 1hr,1hr - 2hr,1hr - 2hr,Public,Secondary,Native,Others,≥3,No,No,1,26 - 100,1,No,3,Disagree,Strongly Disagree,Agree,564.0531,594.7003,587.8372
